year,month,day,oktoberfest,bundestagswahl
2004,0,1,5,1
2004,1,1,4,1
2004,2,1,6,1
2004,3,1,5,1
2004,4,1,6,1
2004,5,1,8,1
2004,6,1,12,1
2004,7,1,26,0
2004,8,1,84,1
2004,9,1,38,1
2004,10,1,5,1
2004,11,1,4,1
2005,0,1,5,1
2005,1,1,5,1
2005,2,1,5,1
2005,3,1,6,1
2005,4,1,7,2
2005,5,1,9,3
2005,6,1,12,4
2005,7,1,23,16
2005,8,1,81,64
2005,9,1,39,5
2005,10,1,5,2
2005,11,1,4,1
2006,0,1,5,1
2006,1,1,4,1
2006,2,1,5,1
2006,3,1,5,1
2006,4,1,6,0
2006,5,1,7,1
2006,6,1,11,0
2006,7,1,25,0
2006,8,1,76,1
2006,9,1,38,1
2006,10,1,5,1
2006,11,1,3,0
2007,0,1,5,0
2007,1,1,5,0
2007,2,1,5,1
2007,3,1,6,0
2007,4,1,7,0
2007,5,1,9,1
2007,6,1,12,0
2007,7,1,24,0
2007,8,1,79,0
2007,9,1,46,1
2007,10,1,5,1
2007,11,1,3,0
2008,0,1,5,1
2008,1,1,5,1
2008,2,1,5,1
2008,3,1,6,0
2008,4,1,6,0
2008,5,1,7,0
2008,6,1,11,0
2008,7,1,22,0
2008,8,1,77,1
2008,9,1,44,1
2008,10,1,5,1
2008,11,1,3,1
2009,0,1,4,2
2009,1,1,5,1
2009,2,1,5,1
2009,3,1,5,1
2009,4,1,6,2
2009,5,1,8,3
2009,6,1,12,3
2009,7,1,24,12
2009,8,1,91,79
2009,9,1,53,5
2009,10,1,6,2
2009,11,1,4,1
2010,0,1,5,2
2010,1,1,5,1
2010,2,1,6,1
2010,3,1,6,1
2010,4,1,7,1
2010,5,1,8,1
2010,6,1,13,0
2010,7,1,27,0
2010,8,1,100,1
2010,9,1,59,1
2010,10,1,7,1
2010,11,1,4,0
2011,0,1,5,1
2011,1,1,5,1
2011,2,1,5,1
2011,3,1,5,0
2011,4,1,7,1
2011,5,1,8,0
2011,6,1,13,0
2011,7,1,26,0
2011,8,1,95,1
2011,9,1,64,1
2011,10,1,10,1
2011,11,1,6,0
2012,0,1,6,1
2012,1,1,5,1
2012,2,1,5,1
2012,3,1,6,1
2012,4,1,7,1
2012,5,1,8,0
2012,6,1,13,0
2012,7,1,28,0
2012,8,1,97,1
2012,9,1,69,1
2012,10,1,9,1
2012,11,1,5,1
2013,0,1,5,2
2013,1,1,5,1
2013,2,1,5,1
2013,3,1,6,1
2013,4,1,7,2
2013,5,1,8,2
2013,6,1,11,3
2013,7,1,27,16
2013,8,1,64,32
